id,date,input,output
0,2012,Evan Horwood plays for <extra_id_0>.,<extra_id_0> Hartlepool United F.C. <extra_id_1>
1,2012,Ghulam Rasool Sahi is a member of the <extra_id_0>.,<extra_id_0> Pakistan Muslim League (Q) <extra_id_1>
2,2012,Yuli Edelstein holds the position of <extra_id_0>.,<extra_id_0> Minister of Diaspora Affairs <extra_id_1>
3,2012,<extra_id_0> is the head coach of FC Granit Mikashevichi.,<extra_id_0> Valery Bakhno <extra_id_1>
4,2012,Michael Spindelegger holds the position of <extra_id_0>.,<extra_id_0> Vice-Chancellor of Austria <extra_id_1>
5,2012,Nicola Gaston works for <extra_id_0>.,<extra_id_0> Victoria University of Wellington <extra_id_1>
6,2012,Júlio César plays for <extra_id_0>.,<extra_id_0> Inter Milan <extra_id_1>
7,2012,Nick Swisher plays for <extra_id_0>.,<extra_id_0> New York Yankees <extra_id_1>
8,2012,Ilya Ponomarev is a member of the <extra_id_0>.,<extra_id_0> A Just Russia <extra_id_1>
9,2012,<extra_id_0> is the head coach of St. Mirren F.C..,<extra_id_0> Danny Lennon <extra_id_1>
10,2012,"Jim Wallace, Baron Wallace of Tankerness holds the position of <extra_id_0>.",<extra_id_0> Advocate General for Scotland <extra_id_1>
11,2012,<extra_id_0> is the head coach of Germany national handball team.,<extra_id_0> Martin Heuberger <extra_id_1>
12,2012,<extra_id_0> is the head coach of FC Bayern Munich.,<extra_id_0> Jupp Heynckes <extra_id_1>
13,2012,Luke Freeman plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
14,2012,Bruno Mantovani works for <extra_id_0>.,<extra_id_0> Conservatoire de Paris <extra_id_1>
15,2012,Antonio Di Natale plays for <extra_id_0>.,<extra_id_0> Udinese Calcio <extra_id_1>
16,2012,Sebastian Giovinco plays for <extra_id_0>.,<extra_id_0> Parma Calcio 1913 <extra_id_1>
17,2012,Dwight Tiendalli plays for <extra_id_0>.,<extra_id_0> Swansea City A.F.C. <extra_id_1>
18,2012,Andrew D. Martin works for <extra_id_0>.,<extra_id_0> Washington University in St. Louis <extra_id_1>
19,2012,Annegret Kramp-Karrenbauer holds the position of <extra_id_0>.,<extra_id_0> chairperson <extra_id_1>
20,2012,Wu Den-yih holds the position of <extra_id_0>.,<extra_id_0> Vice President of the Republic of China <extra_id_1>
21,2012,Anna Júlia Donáth attended <extra_id_0>.,<extra_id_0> Eötvös Loránd University <extra_id_1>
22,2012,Sardar Azmoun plays for <extra_id_0>.,<extra_id_0> Sepahan F.C. <extra_id_1>
23,2012,<extra_id_0> is the chair of International Shooting Sport Federation.,<extra_id_0> Olegario Vázquez Raña <extra_id_1>
24,2012,Julie Bentley works for <extra_id_0>.,<extra_id_0> Girlguiding <extra_id_1>
25,2012,Sarah Feinberg works for <extra_id_0>.,"<extra_id_0> Facebook, Inc. <extra_id_1>"
26,2012,<extra_id_0> is the chair of Moscow Mathematical Society.,<extra_id_0> Viktor Vasilyev <extra_id_1>
27,2012,David Castle works for <extra_id_0>.,<extra_id_0> University of Edinburgh <extra_id_1>
28,2012,Alexis Sánchez plays for <extra_id_0>.,<extra_id_0> FC Barcelona <extra_id_1>
29,2012,Anne Madden attended <extra_id_0>.,<extra_id_0> Tufts University <extra_id_1>
30,2012,Clarice E. Phelps attended <extra_id_0>.,"<extra_id_0> University of Tennessee, Knoxville <extra_id_1>"
31,2012,Ingebjørg Godskesen is a member of the <extra_id_0>.,<extra_id_0> Progress Party <extra_id_1>
32,2012,Xavier Bertrand is a member of the <extra_id_0>.,<extra_id_0> Union for a Popular Movement <extra_id_1>
33,2012,Akhtarul Iman is a member of the <extra_id_0>.,<extra_id_0> Rashtriya Janata Dal <extra_id_1>
34,2012,Jessica Valenti works for <extra_id_0>.,<extra_id_0> The Nation <extra_id_1>
35,2012,<extra_id_0> is the head coach of FC Krasnodar.,<extra_id_0> Slavoljub Muslin <extra_id_1>
36,2012,Steve Womack holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
37,2012,Louis Bontes is a member of the <extra_id_0>.,<extra_id_0> Party for Freedom <extra_id_1>
38,2012,Caroline McMillen works for <extra_id_0>.,<extra_id_0> University of Newcastle <extra_id_1>
39,2012,Sabine Carey works for <extra_id_0>.,<extra_id_0> University of Mannheim <extra_id_1>
40,2012,Carson Palmer plays for <extra_id_0>.,<extra_id_0> Las Vegas Raiders <extra_id_1>
41,2012,<extra_id_0> is the head coach of FC Chita.,<extra_id_0> Andrey Nedorezov <extra_id_1>
42,2012,<extra_id_0> is the head coach of Hamburger SV.,<extra_id_0> Thorsten Fink <extra_id_1>
43,2012,Hatem Ben Arfa plays for <extra_id_0>.,<extra_id_0> Newcastle United F.C. <extra_id_1>
44,2012,<extra_id_0> is the chair of University of Waterloo.,<extra_id_0> Feridun Hamdullahpur <extra_id_1>
45,2012,<extra_id_0> is the head coach of SC Freiburg.,<extra_id_0> Christian Streich <extra_id_1>
46,2012,<extra_id_0> is the head coach of Armenia national football team.,<extra_id_0> Vardan Minasyan <extra_id_1>
47,2012,<extra_id_0> is the chair of Association for Computing Machinery.,<extra_id_0> Vint Cerf <extra_id_1>
48,2012,Sarath Fonseka is a member of the <extra_id_0>.,<extra_id_0> Democratic National Alliance <extra_id_1>
49,2012,Philippe Verdier works for <extra_id_0>.,<extra_id_0> France 2 <extra_id_1>
50,2012,Mark Cavendish plays for <extra_id_0>.,<extra_id_0> Ineos Grenadier <extra_id_1>
51,2012,James Dolan works for <extra_id_0>.,<extra_id_0> SecureDrop <extra_id_1>
52,2012,<extra_id_0> is the chair of Ministry of Internal Affairs of Ukraine.,<extra_id_0> Vitaliy Zakharchenko <extra_id_1>
53,2012,Michel Temer holds the position of <extra_id_0>.,<extra_id_0> Vice President of Brazil <extra_id_1>
54,2012,Wonpil Im works for <extra_id_0>.,<extra_id_0> University of Kansas <extra_id_1>
55,2012,<extra_id_0> is the head coach of St Johnstone F.C..,<extra_id_0> Steve Lomas <extra_id_1>
56,2012,Fraser Forster plays for <extra_id_0>.,<extra_id_0> Newcastle United F.C. <extra_id_1>
57,2012,<extra_id_0> is the chair of The CW.,<extra_id_0> Mark Pedowitz <extra_id_1>
58,2012,Anna J. Phillips works for <extra_id_0>.,<extra_id_0> University of Connecticut <extra_id_1>
59,2012,Antonio Valencia plays for <extra_id_0>.,<extra_id_0> Manchester United F.C. <extra_id_1>
60,2012,Daniel Constantin is a member of the <extra_id_0>.,<extra_id_0> Conservative Party <extra_id_1>
61,2012,Benigno Aquino III holds the position of <extra_id_0>.,<extra_id_0> President of the Philippines <extra_id_1>
62,2012,Alberto Abadie works for <extra_id_0>.,<extra_id_0> Harvard University <extra_id_1>
63,2012,Michael Chopra plays for <extra_id_0>.,<extra_id_0> Ipswich Town F.C. <extra_id_1>
64,2012,Susan B. Sinnott works for <extra_id_0>.,<extra_id_0> University of Florida <extra_id_1>
65,2012,Douglas Crockford works for <extra_id_0>.,<extra_id_0> Yahoo <extra_id_1>
66,2012,<extra_id_0> is the head of the government of Pennsylvania.,<extra_id_0> Tom Corbett <extra_id_1>
67,2012,Diego Milito plays for <extra_id_0>.,<extra_id_0> Inter Milan <extra_id_1>
68,2012,<extra_id_0> is the head coach of Poland national association football team.,<extra_id_0> Waldemar Fornalik <extra_id_1>
69,2012,<extra_id_0> is the head of the government of Sardinia.,<extra_id_0> Ugo Cappellacci <extra_id_1>
70,2012,Federico Macheda plays for <extra_id_0>.,<extra_id_0> Italy national under-21 football team <extra_id_1>
71,2012,<extra_id_0> is the head of the government of Florence.,<extra_id_0> Matteo Renzi <extra_id_1>
72,2012,Johann-Dietrich Wörner holds the position of <extra_id_0>.,<extra_id_0> director <extra_id_1>
73,2012,<extra_id_0> is the head of the government of Budapest District I.,<extra_id_0> Gábor Tamás Nagy <extra_id_1>
74,2012,Terry Mills is a member of the <extra_id_0>.,<extra_id_0> Country Liberal Party <extra_id_1>
75,2012,Shavkat Mirziyoyev holds the position of <extra_id_0>.,<extra_id_0> Prime Minister of Uzbekistan <extra_id_1>
76,2012,<extra_id_0> is the chair of Ecologist group.,<extra_id_0> Jean-Vincent Placé <extra_id_1>
77,2012,Regina E. Dugan works for <extra_id_0>.,<extra_id_0> DARPA <extra_id_1>
