id,date,input,output
0,2018,"In 2018, <extra_id_0> is the head of the government of Nizhny Novgorod.",<extra_id_0> Vladimir Panov <extra_id_1>
1,2018,"In 2018, Ghulam Rasool Sahi is a member of the <extra_id_0>.",<extra_id_0> Pakistan Muslim League (N) <extra_id_1>
2,2018,"In 2018, Yuli Edelstein holds the position of <extra_id_0>.",<extra_id_0> Speaker of the Knesset <extra_id_1>
3,2018,"In 2018, <extra_id_0> is the head coach of FC Granit Mikashevichi.",<extra_id_0> Valery Bakhno <extra_id_1>
4,2018,"In 2018, Gianluigi Paragone is a member of the <extra_id_0>.",<extra_id_0> Five Star Movement <extra_id_1>
5,2018,"In 2018, <extra_id_0> is the head coach of Southampton F.C..",<extra_id_0> Ralph Hasenhüttl <extra_id_1>
6,2018,"In 2018, <extra_id_0> is the head of the government of Federal District.",<extra_id_0> Ibaneis Rocha <extra_id_1>
7,2018,"In 2018, Judy Foote holds the position of <extra_id_0>.",<extra_id_0> Lieutenant Governor of Newfoundland and Labrador <extra_id_1>
8,2018,"In 2018, <extra_id_0> is the head coach of Venezia F.C..",<extra_id_0> Walter Zenga <extra_id_1>
9,2018,"In 2018, Nicola Gaston works for <extra_id_0>.",<extra_id_0> MacDiarmid Institute for Advanced Materials and Nanotechnology <extra_id_1>
10,2018,"In 2018, Júlio César plays for <extra_id_0>.",<extra_id_0> Clube de Regatas do Flamengo <extra_id_1>
11,2018,"In 2018, Nick Swisher plays for <extra_id_0>.",<extra_id_0> Atlanta Braves <extra_id_1>
12,2018,"In 2018, <extra_id_0> is the head coach of Washington Football Team.",<extra_id_0> Jay Gruden <extra_id_1>
13,2018,"In 2018, Ilya Ponomarev is a member of the <extra_id_0>.",<extra_id_0> Green Alliance–The People's Party <extra_id_1>
14,2018,"In 2018, <extra_id_0> is the head coach of St. Mirren F.C..",<extra_id_0> Oran Kearney <extra_id_1>
15,2018,"In 2018, <extra_id_0> is the head coach of Germany national handball team.",<extra_id_0> Dagur Sigurðsson <extra_id_1>
16,2018,"In 2018, <extra_id_0> is the head coach of FC Bayern Munich.",<extra_id_0> Jupp Heynckes <extra_id_1>
17,2018,"In 2018, <extra_id_0> is the head coach of Sheffield United F.C..",<extra_id_0> Chris Wilder <extra_id_1>
18,2018,"In 2018, Luke Freeman plays for <extra_id_0>.",<extra_id_0> Bristol City F.C. <extra_id_1>
19,2018,"In 2018, Bruno Mantovani works for <extra_id_0>.",<extra_id_0> Conservatoire de Paris <extra_id_1>
20,2018,"In 2018, Sebastian Giovinco plays for <extra_id_0>.",<extra_id_0> Real Madrid Fc <extra_id_1>
21,2018,"In 2018, Andrew D. Martin works for <extra_id_0>.",<extra_id_0> University of Michigan <extra_id_1>
22,2018,"In 2018, Annegret Kramp-Karrenbauer holds the position of <extra_id_0>.",<extra_id_0> Leader of the Christian Democratic Union <extra_id_1>
23,2018,"In 2018, Wu Den-yih holds the position of <extra_id_0>.",<extra_id_0> Chairperson of the Kuomintang <extra_id_1>
24,2018,"In 2018, Sardar Azmoun plays for <extra_id_0>.",<extra_id_0> Iran national football team <extra_id_1>
25,2018,"In 2018, <extra_id_0> is the chair of International Shooting Sport Federation.",<extra_id_0> Vladimir Lisin <extra_id_1>
26,2018,"In 2018, Julie Bentley works for <extra_id_0>.",<extra_id_0> Action for Children <extra_id_1>
27,2018,"In 2018, <extra_id_0> is the head coach of Hapoel Ironi Kiryat Shmona F.C..",<extra_id_0> Haim Silvas <extra_id_1>
28,2018,"In 2018, <extra_id_0> is the chair of Moscow Mathematical Society.",<extra_id_0> Viktor Vasilyev <extra_id_1>
29,2018,"In 2018, David Castle works for <extra_id_0>.",<extra_id_0> University of Victoria <extra_id_1>
30,2018,"In 2018, Alexis Sánchez plays for <extra_id_0>.",<extra_id_0> Arsenal F.C. <extra_id_1>
31,2018,"In 2018, Equanimity is owned by <extra_id_0>.",<extra_id_0> Jho Low <extra_id_1>
32,2018,"In 2018, Anne Madden attended <extra_id_0>.",<extra_id_0> North Carolina State University <extra_id_1>
33,2018,"In 2018, Clarice E. Phelps attended <extra_id_0>.",<extra_id_0> University of Texas at Austin <extra_id_1>
34,2018,"In 2018, Ingebjørg Godskesen is a member of the <extra_id_0>.",<extra_id_0> Pensioners' Party <extra_id_1>
35,2018,"In 2018, Dennis Villarojo holds the position of <extra_id_0>.",<extra_id_0> auxiliary bishop <extra_id_1>
36,2018,"In 2018, <extra_id_0> is the head coach of PFC Litex Lovech.",<extra_id_0> Ljupko Petrović <extra_id_1>
37,2018,"In 2018, Akhtarul Iman is a member of the <extra_id_0>.",<extra_id_0> All India Majlis-e-Ittehadul Muslimeen <extra_id_1>
38,2018,"In 2018, Jessica Valenti works for <extra_id_0>.",<extra_id_0> The Guardian <extra_id_1>
39,2018,"In 2018, <extra_id_0> is the head coach of FC Krasnodar.",<extra_id_0> Murad Musayev <extra_id_1>
40,2018,"In 2018, <extra_id_0> is the head coach of FC Dila Gori.",<extra_id_0> Giorgi Shashiashvili <extra_id_1>
41,2018,"In 2018, <extra_id_0> is the head coach of Enosis Neon Paralimni FC.",<extra_id_0> André Paus <extra_id_1>
42,2018,"In 2018, Steve Womack holds the position of <extra_id_0>.",<extra_id_0> United States representative <extra_id_1>
