id,date,input,output
0,2010,"In 2010, Evan Horwood plays for <extra_id_0>.",<extra_id_0> Hartlepool United F.C. <extra_id_1>
1,2010,"In 2010, Ghulam Rasool Sahi is a member of the <extra_id_0>.",<extra_id_0> Pakistan Muslim League (Q) <extra_id_1>
2,2010,"In 2010, Yuli Edelstein holds the position of <extra_id_0>.",<extra_id_0> Minister of Diaspora Affairs <extra_id_1>
3,2010,"In 2010, Sanath Jayasuriya plays for <extra_id_0>.",<extra_id_0> Worcestershire <extra_id_1>
4,2010,"In 2010, <extra_id_0> is the head coach of FC Granit Mikashevichi.",<extra_id_0> Valery Bakhno <extra_id_1>
5,2010,"In 2010, Gloria Macapagal-Arroyo holds the position of <extra_id_0>.",<extra_id_0> President of the Philippines <extra_id_1>
6,2010,"In 2010, Michael Spindelegger holds the position of <extra_id_0>.",<extra_id_0> Foreign Minister of Austria <extra_id_1>
7,2010,"In 2010, Nicola Gaston works for <extra_id_0>.",<extra_id_0> MacDiarmid Institute for Advanced Materials and Nanotechnology <extra_id_1>
8,2010,"In 2010, Júlio César plays for <extra_id_0>.",<extra_id_0> Inter Milan <extra_id_1>
9,2010,"In 2010, Nick Swisher plays for <extra_id_0>.",<extra_id_0> New York Yankees <extra_id_1>
10,2010,"In 2010, Ilya Ponomarev is a member of the <extra_id_0>.",<extra_id_0> A Just Russia <extra_id_1>
11,2010,"In 2010, <extra_id_0> is the head coach of St. Mirren F.C..",<extra_id_0> Danny Lennon <extra_id_1>
12,2010,"In 2010, Jim Wallace, Baron Wallace of Tankerness holds the position of <extra_id_0>.",<extra_id_0> Advocate General for Scotland <extra_id_1>
13,2010,"In 2010, <extra_id_0> is the head coach of Germany national handball team.",<extra_id_0> Heiner Brand <extra_id_1>
14,2010,"In 2010, <extra_id_0> is the head coach of FC Bayern Munich.",<extra_id_0> Louis van Gaal <extra_id_1>
15,2010,"In 2010, Luke Freeman plays for <extra_id_0>.",<extra_id_0> Arsenal F.C. <extra_id_1>
16,2010,"In 2010, Bruno Mantovani works for <extra_id_0>.",<extra_id_0> Conservatoire de Paris <extra_id_1>
17,2010,"In 2010, Antonio Di Natale plays for <extra_id_0>.",<extra_id_0> Udinese Calcio <extra_id_1>
18,2010,"In 2010, Sebastian Giovinco plays for <extra_id_0>.",<extra_id_0> Parma Calcio 1913 <extra_id_1>
19,2010,"In 2010, Dwight Tiendalli plays for <extra_id_0>.",<extra_id_0> FC Twente <extra_id_1>
20,2010,"In 2010, Andrew D. Martin works for <extra_id_0>.",<extra_id_0> Washington University in St. Louis <extra_id_1>
21,2010,"In 2010, Wu Den-yih holds the position of <extra_id_0>.",<extra_id_0> President of the Executive Yuan <extra_id_1>
22,2010,"In 2010, Anna Júlia Donáth attended <extra_id_0>.",<extra_id_0> Eötvös Loránd University <extra_id_1>
23,2010,"In 2010, Sardar Azmoun plays for <extra_id_0>.",<extra_id_0> Iran national under-17 football team <extra_id_1>
24,2010,"In 2010, <extra_id_0> is the chair of International Shooting Sport Federation.",<extra_id_0> Olegario Vázquez Raña <extra_id_1>
25,2010,"In 2010, Sarah Feinberg works for <extra_id_0>.",<extra_id_0> White House Office <extra_id_1>
26,2010,"In 2010, <extra_id_0> is the chair of Moscow Mathematical Society.",<extra_id_0> Viktor Vasilyev <extra_id_1>
27,2010,"In 2010, David Castle works for <extra_id_0>.",<extra_id_0> University of Edinburgh <extra_id_1>
28,2010,"In 2010, Alexis Sánchez plays for <extra_id_0>.",<extra_id_0> Udinese Calcio <extra_id_1>
29,2010,"In 2010, Anne Madden attended <extra_id_0>.",<extra_id_0> Tufts University <extra_id_1>
30,2010,"In 2010, Ingebjørg Godskesen is a member of the <extra_id_0>.",<extra_id_0> Progress Party <extra_id_1>
31,2010,"In 2010, Xavier Bertrand is a member of the <extra_id_0>.",<extra_id_0> Union for a Popular Movement <extra_id_1>
32,2010,"In 2010, Akhtarul Iman is a member of the <extra_id_0>.",<extra_id_0> Rashtriya Janata Dal <extra_id_1>
33,2010,"In 2010, Jessica Valenti works for <extra_id_0>.",<extra_id_0> The Nation <extra_id_1>
34,2010,"In 2010, <extra_id_0> is the head coach of FC Krasnodar.",<extra_id_0> Slavoljub Muslin <extra_id_1>
35,2010,"In 2010, Steve Womack holds the position of <extra_id_0>.",<extra_id_0> mayor <extra_id_1>
36,2010,"In 2010, Íñigo Méndez de Vigo holds the position of <extra_id_0>.",<extra_id_0> member of the European Parliament <extra_id_1>
37,2010,"In 2010, Louis Bontes is a member of the <extra_id_0>.",<extra_id_0> Party for Freedom <extra_id_1>
38,2010,"In 2010, Caroline McMillen works for <extra_id_0>.",<extra_id_0> University of South Australia <extra_id_1>
39,2010,"In 2010, Sabine Carey works for <extra_id_0>.",<extra_id_0> University of Mannheim <extra_id_1>
40,2010,"In 2010, Tabaré Vázquez holds the position of <extra_id_0>.",<extra_id_0> President of Uruguay <extra_id_1>
41,2010,"In 2010, Carson Palmer plays for <extra_id_0>.",<extra_id_0> Cincinnati Bengals <extra_id_1>
42,2010,"In 2010, <extra_id_0> is the head coach of FC Chita.",<extra_id_0> Andrey Nedorezov <extra_id_1>
43,2010,"In 2010, Hatem Ben Arfa plays for <extra_id_0>.",<extra_id_0> Newcastle United F.C. <extra_id_1>
44,2010,"In 2010, <extra_id_0> is the chair of University of Waterloo.",<extra_id_0> David Johnston <extra_id_1>
45,2010,"In 2010, <extra_id_0> is the head coach of SC Freiburg.",<extra_id_0> Robin Dutt <extra_id_1>
46,2010,"In 2010, <extra_id_0> is the head coach of A.C. Pisa 1909.",<extra_id_0> Leonardo Semplici <extra_id_1>
